"","Crash_Score","year","Month","Rd_Feature","Rd_Character","Rd_Class","Rd_Configuration","Rd_Surface","Rd_Conditions","Traffic_Control","Work_Area","good_weather"
"4565",3.96,2016,9,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4566",8.4,2016,9,"OTHER","STRAIGHT","US HWY","TWO-WAY","CONCRETE","DRY","OTHER","NO",0.363498370405888
"4567",8.93,2016,9,"INTERSECTION","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4568",6.04,2016,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4569",6.58,2016,9,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4570",13.18,2016,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4571",9.62,2016,9,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4572",8.16,2016,9,"NONE","OTHER","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4573",3.22,2016,9,"INTERSECTION","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4574",12.26,2016,9,"DRIVEWAY","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",0.363498370405888
"4575",5,2016,9,"INTERSECTION","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4576",9.45,2016,9,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4577",4.93,2016,9,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4578",2.33,2016,9,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4579",3.98,2016,9,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",2.07341841766101
"4580",11.28,2016,9,"NONE","STRAIGHT","US HWY","TWO-WAY","OTHER","WET","OTHER","NO",3.13820122145792
"4581",4.16,2016,9,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4582",6.11,2016,9,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4583",8.46,2016,9,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4584",17.25,2016,9,"NONE","STRAIGHT","OTHER","OTHER","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4585",11.21,2017,9,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4586",2.43,2017,9,"NONE","OTHER","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",2.07341841766101
"4587",7.18,2017,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4588",4.56,2017,9,"INTERSECTION","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4589",7.99,2017,9,"OTHER","OTHER","US HWY","OTHER","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4590",7.35,2017,9,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4591",6.16,2017,9,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4592",2.78,2017,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4593",2.75,2017,9,"NONE","STRAIGHT","OTHER","OTHER","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4594",5.19,2017,9,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4595",14.48,2017,9,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4596",7.27,2017,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4597",2.8,2017,9,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4598",2.55,2017,9,"DRIVEWAY","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4599",4.16,2017,9,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4600",3.69,2017,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","CONCRETE","DRY","OTHER","NO",-0.701284433391025
"4601",6.03,2017,9,"INTERSECTION","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4602",12.52,2017,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4603",3.52,2017,9,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4604",9.08,2017,9,"DRIVEWAY","STRAIGHT","OTHER","OTHER","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4605",2.5,2017,9,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4606",4.91,2017,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4607",4.46,2017,9,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4608",3.8,2017,9,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4609",3.99,2017,9,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4610",4.03,2017,9,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4611",7.42,2017,9,"INTERSECTION","STRAIGHT","OTHER","TWO-WAY","COARSE ASPHALT","DRY","STOP","NO",-0.701284433391025
"4612",8.55,2017,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4613",5.68,2017,9,"NONE","STRAIGHT","US HWY","TWO-WAY","CONCRETE","DRY","OTHER","NO",-0.701284433391025
"4614",4,2017,9,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4615",3.54,2017,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4616",4.71,2017,9,"NONE","OTHER","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4617",12.1,2017,9,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4618",3.32,2017,12,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4619",4.84,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4620",11.54,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",0.363498370405888
"4621",4.86,2017,12,"INTERSECTION","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4622",2.07,2017,12,"INTERSECTION","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4623",10.59,2017,12,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4624",6.5,2017,12,"NONE","OTHER","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4625",6.27,2017,12,"NONE","STRAIGHT","OTHER","OTHER","CONCRETE","WET","OTHER","NO",3.13820122145792
"4626",2.88,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4627",2.95,2017,12,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","COARSE ASPHALT","WET","OTHER","NO",3.13820122145792
"4628",5.2,2017,12,"NONE","STRAIGHT","OTHER","TWO-WAY","COARSE ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4629",12.68,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","COARSE ASPHALT","DRY","STOP","NO",-0.701284433391025
"4630",5.85,2017,12,"INTERSECTION","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4631",8.94,2017,12,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","YES",-0.701284433391025
"4632",2.86,2017,12,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4633",7.69,2017,12,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4634",4.44,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4635",2.48,2017,12,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4636",3.73,2017,12,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4637",4.09,2017,12,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4638",3.06,2017,12,"NONE","OTHER","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4639",10.74,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4640",3.27,2017,12,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4641",9.05,2017,12,"NONE","STRAIGHT","OTHER","TWO-WAY","COARSE ASPHALT","DRY","STOP","NO",-0.701284433391025
"4642",1.59,2017,12,"INTERSECTION","OTHER","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4643",5.69,2017,12,"NONE","STRAIGHT","OTHER","TWO-WAY","COARSE ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4644",5.96,2017,12,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4645",10.79,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","COARSE ASPHALT","DRY","STOP","NO",-0.701284433391025
"4646",11.24,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4647",4.7,2017,12,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4648",2.34,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","COARSE ASPHALT","DRY","STOP","NO",-0.701284433391025
"4649",4.72,2017,12,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","YES",-0.701284433391025
"4650",8.96,2017,12,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4651",2.81,2017,12,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4652",6.24,2017,12,"DRIVEWAY","STRAIGHT","OTHER","OTHER","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4653",7.91,2017,12,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4654",4.11,2017,12,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4655",4.34,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4656",11.71,2017,12,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4657",7.16,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",0.363498370405888
"4658",12.74,2017,12,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4659",6.13,2017,12,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4660",4.81,2017,1,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4661",9.06,2017,1,"INTERSECTION","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4662",12.67,2017,1,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4663",4.65,2017,1,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4664",4,2017,1,"NONE","STRAIGHT","OTHER","TWO-WAY","COARSE ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4665",8.33,2017,1,"INTERSECTION","OTHER","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","YES",-0.701284433391025
"4666",7.8,2017,1,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4667",12.45,2017,1,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4668",4.38,2017,1,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4669",6.66,2017,1,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4670",1.86,2017,1,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4671",6.95,2017,1,"OTHER","STRAIGHT","US HWY","TWO-WAY","OTHER","WET","STOP","NO",3.13820122145792
"4672",3.25,2017,1,"DRIVEWAY","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4673",12.31,2017,1,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4674",11.5,2017,1,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4675",6.2,2017,1,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4676",3.43,2017,1,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4677",4.31,2017,1,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4678",6.59,2017,1,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4679",5.65,2017,1,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4680",1.09,2017,1,"NONE","STRAIGHT","STATE HWY","TWO-WAY","COARSE ASPHALT","DRY","STOP","NO",-0.701284433391025
"4681",4.77,2017,1,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4682",9.63,2017,1,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4683",4.9,2017,1,"OTHER","OTHER","STATE HWY","OTHER","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4684",4.87,2017,1,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4685",2.64,2017,1,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4686",18.03,2017,4,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4687",2.75,2017,4,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4688",5.83,2017,4,"NONE","STRAIGHT","OTHER","TWO-WAY","CONCRETE","DRY","OTHER","NO",-0.701284433391025
"4689",6.52,2017,4,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4690",1.95,2017,4,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4691",11.11,2017,4,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4692",9.85,2017,4,"DRIVEWAY","OTHER","OTHER","TWO-WAY","COARSE ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4693",9.54,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4694",19.06,2018,5,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4695",3.67,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4696",13.61,2018,5,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","YES",-0.701284433391025
"4697",7.47,2018,5,"OTHER","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4698",3.39,2018,5,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4699",5.84,2018,5,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4700",3.77,2018,5,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4701",1.79,2018,5,"DRIVEWAY","STRAIGHT","OTHER","OTHER","COARSE ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4702",7.28,2018,5,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4703",12.01,2018,5,"NONE","STRAIGHT","OTHER","OTHER","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4704",13.97,2018,5,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4705",7.26,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","COARSE ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4706",3.99,2018,5,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4707",15.47,2018,5,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4708",9.32,2018,5,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4709",11.13,2018,5,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4710",3.18,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","COARSE ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4711",7.63,2018,5,"NONE","STRAIGHT","STATE HWY","TWO-WAY","COARSE ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4712",2.99,2018,5,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","OTHER","DRY","OTHER","NO",-0.701284433391025
"4713",8.17,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4714",11.86,2018,5,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4715",10.06,2018,5,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4716",6.24,2018,5,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4717",2.01,2018,5,"OTHER","OTHER","US HWY","OTHER","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4718",4.98,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4719",10.35,2018,5,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",0.363498370405888
"4720",6.08,2018,5,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4721",9.14,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4722",3.06,2018,5,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4723",3.02,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4724",14.42,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4725",9.95,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4726",3.74,2018,5,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4727",16.31,2018,5,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4728",7.07,2018,5,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","CONCRETE","DRY","OTHER","NO",-0.701284433391025
"4729",3.42,2018,5,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4730",10.43,2018,5,"OTHER","STRAIGHT","US HWY","OTHER","SMOOTH ASPHALT","WET","STOP","NO",2.07341841766101
"4731",6.47,2018,5,"NONE","OTHER","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4732",2.53,2018,5,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4733",4.51,2018,5,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4734",14.47,2018,5,"NONE","STRAIGHT","STATE HWY","TWO-WAY","COARSE ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4735",11.19,2018,5,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4736",7.76,2018,5,"NONE","STRAIGHT","US HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4737",1.76,2015,11,"NONE","OTHER","OTHER","TWO-WAY","SMOOTH ASPHALT","WET","OTHER","NO",3.13820122145792
"4738",7.08,2015,11,"INTERSECTION","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","WET","STOP","NO",3.13820122145792
"4739",8.14,2015,12,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
"4740",6.1,2014,7,"OTHER","OTHER","OTHER","OTHER","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4741",4.41,2014,7,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4742",4.52,2014,7,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4743",4.37,2014,7,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4744",7.15,2014,7,"OTHER","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4745",12.34,2014,7,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4746",2.5,2014,7,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4747",12.75,2014,7,"DRIVEWAY","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",0.363498370405888
"4748",2.56,2014,7,"NONE","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","YES",-0.701284433391025
"4749",7.05,2014,7,"NONE","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",-0.701284433391025
"4750",13.31,2014,7,"INTERSECTION","STRAIGHT","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","STOP","NO",0.363498370405888
"4751",11.27,2014,7,"DRIVEWAY","STRAIGHT","OTHER","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",-0.701284433391025
"4752",7.24,2014,7,"NONE","OTHER","STATE HWY","TWO-WAY","SMOOTH ASPHALT","DRY","OTHER","NO",0.363498370405888
